data;Ano;Mês;BOG-rf;IBOV-rf;SMB;HML;WML
39660;2008;7;-0,0469232844132117;-0,0712995244132117;-0,0315836280681112;0,00154308987596252;0,0154624303664641
39691;2008;8;-0,0182981494577576;-0,0441334494577576;-0,035347224303142;0,00384157290164167;0,0515975652515086
39721;2008;9;-0,139649357781706;-0,112546557781706;-0,16104308134527;0,0579001879566903;0,101331446023147
39752;2008;10;-0,140824770368681;-0,262675170368681;-0,119896207569568;0,0524123330813737;0,0758999155934399
39782;2008;11;-0,0166733875708885;-0,0284142875708885;-0,0160745494074148;0,0670126512007891;0,0368698923246442
39813;2008;12;0,0674222108326117;0,0703021608326117;0,0298445516871306;-0,0424940292661056;-0,0864833527856539
39844;2009;1;-0,0222153109206514;0,0364016190793486;0,0610610126540629;-0,0207551511098033;-0,0520365468720471
39872;2009;2;0,0452650161087966;-0,0381690138912034;-0,0207646547855237;0,0196892484490869;0,0926379175538108
39903;2009;3;-0,0179667125598777;0,0628594374401223;-0,0424584182361136;-0,0382093057782855;0,01079452286553
39933;2009;4;0,204568004919954;0,118144104919954;0,171693704458107;-0,0436151937208563;-0,231044694221601
39964;2009;5;0,115089689404726;0,117026389404726;0,0318551704024859;-0,0290255763452877;-0,0954054667643524
39994;2009;6;0,0436382447535783;-0,0628037752464217;0,0510860403663445;0,0143203985970701;-0,0127424802154665
40025;2009;7;0,143973877206816;0,0554826772068156;0,0856264055735152;0,0112469970857128;-0,0535200434410898
40056;2009;8;0,0660945888781102;0,0245606188781102;0,0530620607799197;0,036395905762687;-0,0594988833648747
40086;2009;9;0,033069575965836;0,095245275965836;0,0283053917273075;-0,00727334165863869;-0,0106494540735375
40117;2009;10;0,0230721497090093;0,0110374497090093;0,060278403819515;-0,0555832878994246;-0,0228766360816028
40147;2009;11;0,0800694972016414;0,0824170572016414;-0,0137871685130717;-0,00258024067689733;0,0217076060377814
40178;2009;12;0,0350687654971409;-0,00429983250285906;0,0130915521300863;0,0147305397832955;-0,0300940378676106
40209;2010;1;-0,00693985131534704;-0,053400181315347;0,0517326926472486;0,0269282994003175;-0,0106639562932261
40237;2010;2;-0,00696314896036381;-0,00799166396036381;0,0254040175924113;0,0116904977308698;0,0632108882100082
40268;2010;3;-0,0110092207019488;0,0397512592980512;-0,0684226484043828;-0,0116957971971661;-0,033486219471085
40298;2010;4;-0,014218348954319;-0,057918318954319;0,022508726515184;-0,0320700290550902;0,0107500928757611
40329;2010;5;-0,00869584671295398;-0,074084676712954;-0,0120156966670264;-0,0271319479722155;-0,0217904479176819
40359;2010;6;0,00387077661321792;-0,0227649833867821;0,040584210785968;-0,0013511764185351;0,0178177752140252
40390;2010;7;0,078583699473977;0,094124399473977;0,00816353173972462;-0,00793887801718896;0,0631111462648726
40421;2010;8;0,0355201469899363;-0,0435822130100637;0,0542802639513904;-0,0127299352693303;0,0221681541481729
40451;2010;9;0,0585464012786047;0,0266911912786047;-0,0100559025192061;-0,0223150720688348;-0,00121787779646609
40482;2010;10;0,039542241421946;-0,00213632757805402;0,0397615738145658;-0,0132721147175979;0,059641939759602
40512;2010;11;-0,0054850969611569;-0,0623626769611569;-0,0142538787890649;-0,0209795848088921;0,0274526181045007
40543;2010;12;0,00847155916865074;-0,00912025703134926;-0,0176431706171026;0,0355577164663021;-0,0220782867003582
40574;2011;1;-0,0287629489117675;-0,0481531489117675;-0,0241555991550692;0,0411410520241882;-0,0353360658923209
40602;2011;2;-0,00202676089205672;-0,0158674118920567;-0,0305655760411434;0,00983667645763497;0,00176571369944223
40633;2011;3;0,0117404041788234;0,0261265341788234;-0,0329313607130189;0,00879953583186355;0,0410221580465111
40663;2011;4;-0,0063902937961597;-0,0546553037961597;0,0098383034677989;-0,0270099494656059;0,0601309160050678
40694;2011;5;-0,00947000705410838;-0,0323448670541084;-0,00715256702597278;3,47593734522089E-05;0,0632675252169175
40724;2011;6;-0,0186078146799935;-0,0255014646799935;0,0145060494731435;-0,0163451544864752;0,0259192547897429
40755;2011;7;-0,0387398794905093;-0,0818423694905093;0,0354063379459437;-0,0213555409012689;0,0345175279616989
40786;2011;8;-0,0307509742126597;-0,0446120742126597;-0,0173811028981073;-0,0472448005032681;0,0373366809854827
40816;2011;9;-0,0283043850743444;-0,108993985074344;0,0135425699665686;-0,0173873060072692;0,0299482717995769
40847;2011;10;0,0329214956235105;0,105857695623511;-0,0254201938917701;0,0560648858319848;-0,0599935995350727
40877;2011;11;-0,000812857452353518;-0,0166242414523535;-0,0428783562511219;-0,00616702122781831;0,110759045559504
40908;2011;12;0,00643940117635665;-0,0324556488236433;-0,0223763660991111;-0,0186245455496952;0,0713349750435259
40939;2012;1;0,050678212871745;0,103004612871745;0,0826093773486873;0,0194064326218302;-0,0534724050988868
40968;2012;2;0,0509411488467758;0,0112164188467758;0,0158441118792061;-0,0168429343223425;0,00931966016519259
40999;2012;3;0,014438887969942;-0,041969682030058;-0,00659263281726097;-0,000961946303804195;0,0527976663360101
41029;2012;4;-0,00713635031962113;-0,0488456903196211;-0,0126413799897486;-0,0490216198563951;0,071226907839784
41060;2012;5;-0,0668133469355455;-0,125380446935545;-0,0210944144400474;-0,0682018805738306;0,0781656480458397
41090;2012;6;0,00441895209437153;0,0112406420943715;-0,0084403588623555;0,0243903558031759;0,0458939962447797
41121;2012;7;0,0366692238580986;0,0257257338580986;0,000494948311203114;0,00539678898110219;-0,0257326715191524
41152;2012;8;0,0138907412554939;0,00756091125549391;0,10126788279532;0,0145841787661767;-0,0336665816993974
41182;2012;9;0,0200972128999946;0,0311521728999946;0,0195912968943188;0,0285401839029495;-0,0362832531309912
41213;2012;10;-0,00976443036224605;-0,0477752803622461;-0,0099275406430599;-0,0333787224438328;0,0475050060524391
41243;2012;11;0,0112659200343976;-0,0212885199656024;-0,00752795680180673;-0,00749253193837529;0,0145611844589284
41274;2012;12;0,0353201932757798;0,0548253832757798;0,039031790845282;0,0234795377681527;-0,025002661022004
41305;2013;1;0,00637159401289988;-0,0251616159871001;-0,0167491767505126;0,0337810733414114;0,0318783729218601
41333;2013;2;0,00333976510861066;-0,0541575648913893;0,00414682949884426;-0,0174929263416082;0,0216231599467602
41364;2013;3;-0,00967568103599063;-0,0150262910359906;-0,0303026263602724;-0,0307203292964263;0,0481961007809097
41394;2013;4;0,00617801808153134;-0,00567547601846866;-0,0062617176851032;-0,0318992279158147;-0,00552365979573166
41425;2013;5;-0,00199435023764906;-0,0489969302376491;-0,0283944489930823;-0,0374738087537172;0,0280259253604178
41455;2013;6;-0,0423834913630059;-0,119435091363006;-0,0675043950195703;-0,0460758346378725;0,000669494541812199
41486;2013;7;0,00139035938592491;0,0146672793859249;-0,02526384222645;0,0329515776706928;0,0315516432190173
41517;2013;8;-0,00284356109572468;0,0108804189042753;0,0171616298524291;0,057498826260715;-0,00111732658091535
41547;2013;9;0,0138646063332332;0,0393824763332332;-0,00674222319829509;-0,000475119974875482;-0,0187576368684051
41578;2013;10;0,0295446134534581;0,0127919034534581;-0,0629713698424798;-0,0161737563633085;0,0647631139467348
41608;2013;11;-0,0146612785150632;-0,0360015485150632;-0,0304143633216519;-0,0313651352643799;0,037009430053291
41639;2013;12;-0,0228731964582992;-0,0264571064582992;0,00379810830344041;0,035657639025924;-0,00955025509841401
41670;2014;1;-0,0671336038437517;-0,0832332638437517;0,0428023775706818;0,0388066075931035;-0,0468571011995655
41698;2014;2;-0,0133540004793721;-0,0197856004793721;-0,0108520175865957;-0,0500670988672952;-0,00412351034034164
41729;2014;3;0,0255044795907206;0,0620122295907206;-0,0669268588616536;-0,0325540623109144;0,0433484010715433
41759;2014;4;0,00841016675261207;0,0183906767526121;-0,0278204753593321;-0,0400905786422425;0,0292029028903484
41790;2014;5;0,00639279502459006;-0,0161101069754099;0,0193063849214687;-0,0107125131302332;0,0113513708193329
41820;2014;6;0,0324082102158978;0,0290527202158978;-0,00207103094549743;-0,027546972014526;0,0129139654098522
41851;2014;7;-0,00658886822069538;0,0413988217793046;-0,070353321752704;0,0131786623066747;0,0847843767067882
41882;2014;8;0,0564054349550258;0,0877382349550258;-0,0482867465021796;-0,0535914984303174;0,0244908013182712
41912;2014;9;-0,0855985212794327;-0,123501121279433;-0,0522972366077731;-0,0713537592814685;0,00935318263559415
41943;2014;10;0,00235733116524004;0,02484622116524;-0,0764674922786078;-0,0759052935531241;0,0862297755632104
41973;2014;11;0,010056820323502;-0,00719684167649802;0,00775776463210276;0,0157242001632942;0,0285628193780758
42004;2014;12;-0,0462405725079173;-0,0526475825079173;-0,0881748943178199;-0,015350955630023;0,0909402632495928
42035;2015;1;-0,0784740994643812;-0,0714595094643812;-0,107172311386528;-0,0579226978826346;0,0996672165550365
42063;2015;2;0,0592699632563462;0,0899425532563462;-0,0462892555842543;0,0660696130553182;-0,0191096980512232
42094;2015;3;0,0170416058417829;-0,0183512611582171;-0,0593853741710919;7,66500531113046E-05;0,0289696446363281
42124;2015;4;0,025883996619062;0,064568406619062;-0,000399889695854361;0,0103291007631081;-0,0447883318316524
42155;2015;5;-0,0314804750476669;-0,0721724250476669;0,00509126114273917;-0,022464951453654;0,0303522558362028
42185;2015;6;0,000278761071853376;-0,00978669682814662;-0,029109374366895;0,000555391195497412;0,0667959180273801
42216;2015;7;-0,0268752667829419;-0,0467520367829419;-0,0463688101999851;-0,0387831984192154;0,148574515025177
42247;2015;8;-0,0440966669796437;-0,0944402069796437;-0,046272261532984;-0,0332661576911261;0,0680294618141559
42277;2015;9;-0,021131799928336;-0,020317089928336;-0,048867185460659;0,0473820529211206;0,0525600182191632
42308;2015;10;0,0088857633708878;0,0011459733708878;-0,0240402513878346;-0,0463792350216895;-0,0109725966516167
42338;2015;11;-0,00211177823179414;-0,0274291782317941;-0,0544394269983671;-0,0319971593537012;0,0811817487440682
42369;2015;12;-0,0271423909119849;-0,0488097009119849;0,0110151352535399;-0,0298620606525911;0,0252313246977043
42400;2016;1;-0,0302200278855508;-0,0791317378855508;-0,10048743934281;-0,103685284074671;0,159313850735342
42429;2016;2;0,0219025929441521;0,0437169329441521;0,101474069836365;0,134027782808304;-0,125524273364988
42460;2016;3;0,063917408485082;0,123397008485082;0,0329823755906504;0,0946236258891378;-0,22990281658448
42490;2016;4;0,0239306633806531;0,0551663933806531;0,022321718567641;0,047340138352014;-0,0677815544881077
42521;2016;5;-0,0390650300719998;-0,111950730072;0,00778591592080002;-0,0821921057541625;0,0896472369350103
42551;2016;6;0,0599375430119745;0,0402361330119745;0,055670075285922;0,00226822354695599;-0,0718933949556106
42582;2016;7;0,0789335636812719;0,0860975436812719;0,132943528608199;0,160463618529757;-0,0903681103710925
42613;2016;8;0,00593218792283165;0,00911251792283165;-0,00117978618966108;0,027732715480852;-0,0404201293033647
42643;2016;9;-0,0250456862353653;-0,00880000623536526;-0,024792152665337;-0,0416500845380585;0,023634540826027
42674;2016;10;0,0700969366625696;0,10144573666257;0,00818535384447183;0,0746568787310102;0,015865590904286
42704;2016;11;-0,0747861141618393;-0,0332105641618393;-0,0430380298827926;0,0020573236255832;-0,0223269287649568
42735;2016;12;-0,0245898371336681;0,00152211286633191;-0,0175663526928043;-0,0288185810067775;-0,0318595236899986
42766;2017;1;0,0497973118359787;0,0635761718359787;0,0952604077597834;0,174817953459125;0,0230936078942261
42794;2017;2;0,0322117953596653;0,0183746453596653;0,0361835041792369;0,0192763842079942;0,0847243625084966
42825;2017;3;0,00258839078237122;-0,0393391092176288;0,0371957942486538;-0,0239363575777444;-0,0341842015070327
42855;2017;4;0,0270885176586972;-0,00246097834130281;0,0240345371514699;-0,0649141205394415;-0,000345960966913417
42886;2017;5;-0,0424944734451665;-0,0496511434451664;-0,023478198553554;-0,0816770968796106;-0,014753333574523
42916;2017;6;-0,00404428962908221;0,00177212637091779;0,026568279329678;0,0323892519451057;0,0217010458037632
42947;2017;7;0,033378045439979;0,040396985439979;0,0432703439759001;0,0380924804491598;0,0495003914193155
42978;2017;8;0,0509396154360614;0,0578684354360614;0,0323702771606957;0,0497851559516853;0,0285900890666333
43008;2017;9;0,0474903145450969;0,0264477345450969;0,0165526842401289;-0,00736292298642849;-0,024425414435877
43039;2017;10;-0,0141754006532203;-0,00597376795322033;0,00321536677038736;-0,009576927554796;0,0316774742824968
43069;2017;11;-0,0428122560128066;-0,0309091960128066;0,0104905467111249;0,0101353205555526;0,015311808090321
43100;2017;12;0,0384188500617335;0,0516756300617335;0,0132312587044152;0,0268792208741655;0,0185733049930714
43131;2018;1;0,0594891935832117;0,105881693583212;-0,0264071267838706;0,0493943278007076;0,0169573752984056
43159;2018;2;-0,00436607235695992;-0,00702288935695992;-0,0413933654864894;0,026950100584852;0,0123925175958355
43190;2018;3;-0,0212436972532837;-0,0053869429532837;-0,0317520464909797;0,00135275948047964;0,0364511938417573
43220;2018;4;-0,0291402513440548;0,00364479065594518;0,0271303986324409;0,0476595536269426;0,00394250893188186
43251;2018;5;-0,0791327317702168;-0,113845831770217;-0,0352998780871826;0,0107378790416663;0,00412825533796024
43281;2018;6;-0,0422489328058808;-0,0632144228058808;-0,0328452578080026;-0,0194750765045902;0,0139865469280624
43312;2018;7;0,0478035041383054;0,0835569041383054;0,000859604695594207;0,0226262307158469;0,0517963202137752
43343;2018;8;-0,0482004551965703;-0,0382908151965703;-0,00475756111472314;0,0264735417620592;0,0357830472290843
43373;2018;9;0,00378261614332309;0,0295371261433231;-0,0657711853326945;-0,00617919775201559;0,0460145866223762
43404;2018;10;0,127796961769211;0,106721161769211;0,10034525479802;0,0828043139454118;-0,128842247434857
43434;2018;11;0,0578053978041322;0,00707628780413221;-0,00775845137188846;-0,0185774414703642;0,00181427970981862
43465;2018;12;0,0108104385076472;-0,0232532214923528;0,027402603025924;0,0135849718876417;-0,010574124373418
43496;2019;1;0,110809501337531;0,102976301337531;-0,0297859429102548;0,0115919600567398;-0,0342727205846426
43524;2019;2;-0,0271845758016482;-0,0284513858016482;0,020429322904078;0,010885893929689;0,0161523458812347
43555;2019;3;0,00881078380683576;0,00338126880683576;0,0028589303968356;0,0207746689354029;0,0230280780317589
43585;2019;4;0,0228110008026632;-0,00207743119733684;-0,0340181823308704;0,0134805177370709;0,0222226394335909
43616;2019;5;0,0318116312331419;0,00183775023314193;-0,0337195346216901;-0,00840272806263931;0,0718395423288394
43646;2019;6;0,0248257011578083;0,0353994111578083;0,0547417894391908;0,0565479687519341;-0,00686324423431006
43677;2019;7;0,0539610283472953;-0,000377422652704727;0,0360512606751018;0,010884643564395;0,0559806107725718
43708;2019;8;0,0412668536154197;-0,0144397923845803;-0,0101416577708868;-0,0414758504434261;0,0519275941019344
43738;2019;9;0,00452646104757048;0,0312283910475705;-0,0224734602388359;-0,0421221877410757;-0,0365264922768447
43769;2019;10;0,0118075502888483;0,0262380802888483;0,0097332747791814;0,00172391686039286;0,033472762290778
43799;2019;11;0,0171068415310138;-0,00354471546898624;0,0354316468696221;0,00334885203085133;-0,0172401625832024
43830;2019;12;0,0993551256449683;0,0648368256449683;0,08028150585627;0,0619828737850205;-0,016929227484329
43861;2020;1;0,019455899828595;-0,019841350171405;-0,00726665353164424;-0,0237160939473511;0,085290996472938
43890;2020;2;-0,0614009341853806;-0,0876919841853806;-0,0292295768021653;-0,0236315307917377;0,011559022324038
43921;2020;3;-0,30313536083312;-0,30217886083312;-0,152953069400422;-0,0631231686940307;-0,0577301113989018
43951;2020;4;0,102182485286208;0,131600285286208;0,0401145399860283;-0,060624762405092;0,0649850263722935
43982;2020;5;0,0776847738351409;0,0833517938351409;-0,0378848858308687;0,0193919360693877;0,0146935022548769
44012;2020;6;0,119104505938985;0,0707259559389847;0,119755801483735;0,0489541541718808;0,0114580008862186
44043;2020;7;0,107276942609403;0,0680147426094034;-0,0112251597267202;0,00568426756495533;0,0473615655069974
44074;2020;8;-0,00457984848541107;-0,0360077384854111;0,00448217673262485;-0,074688930582351;0,0221001951245807
44104;2020;9;-0,0665825804086655;-0,0756199504086655;-0,0207223606259956;0,00688843547570817;0,00506106939328377
44135;2020;10;-0,0175829703493451;-0,0175668803493451;-0,00705598154212639;0,015444406472586;0,00386193875392182
44165;2020;11;0,0994126814714566;0,157439181471457;0,0424124921105027;0,0434680901883711;-0,0635648651223668
44196;2020;12;0,0904159571351092;0,0667941971351092;-0,0151025922354405;-0,00171536540460515;0,0180913183556388
44227;2021;1;0,0234177891111858;-0,0347680708888142;-0,0131175696871532;-0,0507930080428841;0,0695826276124949
44255;2021;2;-0,016641111542685;-0,065311591542685;-0,0294470670377868;0,00491945943518335;0,102232803963732
44286;2021;3;0,0309778627783926;0,0550667227783926;0,0112205697167467;0,0386353643924227;-0,0508137245635077
44316;2021;4;0,0565411450427896;0,0291283550427896;0,120289914290212;0,0281575906470513;0,0699376527052251
44347;2021;5;0,0680730289728679;0,058656458972868;0,0160652487209143;-0,00155541449732344;-0,0294128647253914
44377;2021;6;0,0256838405030687;-0,0147406794969313;0,066249451568644;-0,0115416150474997;-0,00262008471668118
44408;2021;7;-0,0437111593200719;-0,0344704293200719;-0,0321692996822456;-0,0153626648907317;0,0601335607658617
44439;2021;8;-0,0543005529671612;-0,0290931629671612;-0,0502336601800217;0,00945123594587871;0,0443043474617628
44469;2021;9;-0,107840229762671;-0,0753327797626712;-0,0401510966237658;0,00780595058570155;0,0184783550682797
44500;2021;10;-0,139583928437585;-0,0888342384375846;-0,0563331810659513;0,0201017067430127;-0,0237602784473669
44530;2021;11;-0,0356426998773949;-0,0410849598773949;-0,0317446222460109;0,0355455220849115;0,00277977638108085
44561;2021;12;-0,0162827900155223;0,0328847799844777;0,0711057728520923;0,0277944961257552;0,0306982329045435
44592;2022;1;0,0321751470321368;0,0620177270321367;-0,00354793709920498;0,0201759752489572;-0,0789621564686656
